skillName,category
Account Management,Business
Accounting,Business
Bookkeeping,Business
Brand Management,Business
Budgeting,Business
Business Analysis,Business
Content Writing,Business
Copywriting,Business
Customer Service,Business
Digital Marketing,Business
Email Marketing,Business
Event Planning,Business
Financial Analysis,Business
Google Sheets,Business
Human Resources,Business
Market Research,Business
Microsoft PowerPoint,Business
Microsoft Word,Business
Operations Management,Business
Public Relations,Business
Recruiting,Business
Sales,Business
SEO,Business
Social Media Marketing,Business
Supply Chain Management,Business
Video Editing,Business
"Browse, Search And Filter Data, Information And Digital Content",Digital Competency
Collaborate Through Digital Technologies,Digital Competency
Computer Programming,Digital Competency
Creatively Use Digital Technologies,Digital Competency
Develop Digital Content,Digital Competency
Digital Communication And Collaboration,Digital Competency
Digital Content Creation,Digital Competency
Digital Data Processing,Digital Competency
"Evaluate Data, Information And Digital Content",Digital Competency
ICT Safety,Digital Competency
Identify Digital Competence Gaps,Digital Competency
Identify Technological Needs,Digital Competency
Integrate And Re-Elaborate Digital Content,Digital Competency
Intellectual Property Regime Of Digital Content,Digital Competency
Interact Through Digital Technologies,Digital Competency
"Manage Data, Information And Digital Content",Digital Competency
Problem-Solving With Digital Tools,Digital Competency
Protect Health And Well-Being While Using Digital Technologies,Digital Competency
Protect ICT Devices,Digital Competency
Protect Personal Data And Privacy,Digital Competency
Protect The Environment From The Impact Of The Digital Technologies,Digital Competency
Share Through Digital Technologies,Digital Competency
Solve Technical Problems,Digital Competency
Use E-Services,Digital Competency
Bengali,Language
English,Language
French,Language
German,Language
Hindi,Language
Odia,Language
Spanish,Language
Apply For Research Funding,Research
Apply Research Ethics And Scientific Integrity Principles In Research Activities,Research
Communicate With A Non-Scientific Audience,Research
Conduct Research Across Disciplines,Research
Demonstrate Disciplinary Expertise,Research
Develop Professional Network With Researchers And Scientists,Research
Disseminate Results To The Scientific Community,Research
Draft Scientific Or Academic Papers And Technical Documentation,Research
Evaluate Research Activities,Research
Increase The Impact Of Science On Policy And Society,Research
Integrate Gender Dimension In Research,Research
Interact Professionally In Research And Professional Environments,Research
Manage Intellectual Property Rights,Research
Manage Personal Professional Development,Research
Mentor Individuals,Research
Perform Project Management,Research
Perform Scientific Research,Research
Promote Open Innovation In Research,Research
Promote The Participation Of Citizens In Scientific And Research Activities,Research
Promote The Transfer Of Knowledge,Research
Publish Academic Research,Research
Speak Different Languages,Research
Synthesise Information,Research
Synthesise Research Publications,Research
Teach In Academic Or Vocational Contexts,Research
Think Abstractly,Research
Write Scientific Publications,Research
Accept Criticism And Guidance,Soft Skill
Adapt To Change,Soft Skill
Adaptability,Soft Skill
Address An Audience,Soft Skill
Adjust To Physical Demands,Soft Skill
Adopt Ways To Foster Biodiversity And Animal Welfare,Soft Skill
Adopt Ways To Reduce Negative Impact Of Consumption,Soft Skill
Adopt Ways To Reduce Pollution,Soft Skill
Advise Others,Soft Skill
Agile Methodology,Soft Skill
Analytical Skills,Soft Skill
Apply Basic Programming Skills,Soft Skill
Apply Digital Security Measures,Soft Skill
Apply Hygiene Standards,Soft Skill
"Apply Knowledge Of Philosophy, Ethics And Religion",Soft Skill
"Apply Knowledge Of Science, Technology And Engineering",Soft Skill
Apply Knowledge Of Social Sciences And Humanities,Soft Skill
Appreciate Diverse Cultural And Artistic Expression,Soft Skill
Approach Challenges Positively,Soft Skill
Assume Responsibility,Soft Skill
Attend To Detail,Soft Skill
Attention To Detail,Soft Skill
Build Networks,Soft Skill
Build Team Spirit,Soft Skill
Calculate Probabilities,Soft Skill
Carry Out Calculations,Soft Skill
Collaboration,Soft Skill
Communication Skills,Soft Skill
Comply With Regulations,Soft Skill
Conduct Web Searches,Soft Skill
Conflict Resolution,Soft Skill
Cope With Stress,Soft Skill
Cope With Uncertainty,Soft Skill
Create Digital Content,Soft Skill
Creativity,Soft Skill
Critical Thinking,Soft Skill
Critically Evaluate Information And Its Sources,Soft Skill
Decision Making,Soft Skill
Delegate Responsibilities,Soft Skill
Demonstrate Awareness Of Health Risks,Soft Skill
Demonstrate Curiosity,Soft Skill
Demonstrate Intercultural Competence,Soft Skill
